08/01/2026,"-13.00",LBM LITTLE BOURKE ST      MELBOURNE
08/01/2026,"-14.64",WW METRO/CNR COLLINS ST & DOCKLANDS
08/01/2026,"-5.30",MCDONALDS YARRAVILLE      YARRAVILLE
08/01/2026,"-65.00",7-ELEVEN 1063             NEWPORT
07/01/2026,"-12.00",LBM LITTLE BOURKE ST      MELBOURNE
07/01/2026,"-23.00",SQ *ROSSO ESPRESSO BAR FL Melbourne
07/01/2026,"-27.23",ZLR*Rizins burgers dand   dandenong
07/01/2026,"-33.98",CALTEX BACCHUS MARSH      BACCHUS MARSH
06/01/2026,"-60.00",SQ *LE MANS ENTERTAINMENT Dandenong Sou
06/01/2026,"-708.00",SQ *LE MANS ENTERTAINMENT 1800595310
06/01/2026,"-30.50",LOLA S 110                BACCHUS MARSH
06/01/2026,"-29.99",SuperCheap Auto           Strathpine
06/01/2026,"-6.57",AUGUSTUS GELATERY POIN    POINT COOK
06/01/2026,"-119.90",SUPER-RACK                01300884482
05/01/2026,"-126.00",KMART 1267                MANOR LAKES
05/01/2026,"-38.50",COLES 0672                BACCHUS MARSH
05/01/2026,"-128.85",DAN MURPHY'S/25 RUSHTON S WERRIBEE
05/01/2026,"-10.70",KFC Manor Lakes           Manor Lakes
05/01/2026,"-23.94",BUNNINGS 394000           FOOTSCRAY
05/01/2026,"-13.95",BUNNINGS 394000           FOOTSCRAY
05/01/2026,"-8.25",The Trustee for Tai T     Maribyrnong
05/01/2026,"-22.99",KOFOED PHARMARCY          NEWPORT
05/01/2026,"-19.28",PIT STOP LORNE            LORNE
02/01/2026,"-43.47",SP VIOFO OFFICIAL         MONG KOK
02/01/2026,"-104.00",PLE COMPUTERS             WANGARA
02/01/2026,"-1.75",COLES 0618                ALTONA NORTH
02/01/2026,"-32.57",AMAZON RETA* AMAZON AU    SYDNEY
02/01/2026,"-54.85",DUMPLINGS & MORE          FOOTSCRAY
02/01/2026,"-60.00",METCO KINGSVILLE          KINGSVILLE
31/12/2025,"-35.40",COLES 7774                YARRAVILLE
31/12/2025,"-1301.04",AAMI INSURANCE            BRISBANE CITY

